Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,source,Gamma
2699,1,2.276570182,2.523602022,1.584297537,61567.61925,1.009045312,1.019598412,3.459903264,477.776381,2.208315564,1.48604023,1.465571721,3.347951581,0.073513327,719.9108738,0.918805626,477.776381,I395,1.014321862
9454,1,8.083937391,2.372818094,1.157301836,87485.72608,1.310425886,1.060416243,7.036077874,197.7497587,1.202477386,1.096575299,1.063170746,1.210099341,0.045432818,223.6607939,0.939054098,197.7497587,I395,1.185421064
3776,1,2.735530834,2.471764031,1.333189371,79985.16847,1.248586889,1.241780383,3.322652022,602.011527,1.285840677,1.133949151,1.140173347,2.11644033,0.018604577,678.9238774,0.994348437,602.011527,I395,1.245183636
4586,1,2.110175944,2.286381373,1.261564179,82393.13099,1.15785648,1.375137507,3.871882687,190.7620464,0.474901217,0.689130769,0.733700178,2.094856043,0.020824282,123.4743163,0.992300851,190.7620464,I395,1.266496993
292,38,7.060284315,2.583922131,1.004148251,87245.27821,0.609604055,1.979820024,6.771928324,170.9753484,5.444150798,2.333270408,2.249675637,1.121305233,0.109948674,413.7554606,0.751242286,170.9753484,I294l2,1.29471204
