id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8760,0.515525815,0.000550215,0.02345666,0.013206758,0.023881848,0.000772918,0.939767071,0.999996325,0.515525815,40,0,1.358,0.5,2992.978983,1.815614592,1137.690071,0.909298302,200,0.5,3.073,4,4,0.3,1.2,2.320114049,1421.346056,1.090588651,1323.842391,1.309460675,0.97
8757,0.96938027,0.000289788,0.017023166,0.009562005,0.016522584,0.000588039,0.031586912,0.999998378,0.96938027,1,0,1.358,0.5,2147.988474,1.591888062,1503.158153,0.474429671,200,0.5,3.073,4,4,0.3,1.2,2.557972301,1769.92906,0.924446711,1442.9793,1.246187697,0.97
8762,0.583841424,0.000563919,0.023746983,0.013598221,0.024402288,0.000786086,0.712793848,0.999995932,0.583841424,39,0,1.358,0.5,2803.752444,1.777952077,1358.094621,1.287590541,200,0.5,3.073,4,4,0.3,1.2,3.348134535,1400.796565,1.023507133,1404.345829,0.578313464,0.97
8745,0.815335293,0.000464117,0.021543384,0.012168678,0.021339871,0.000727289,0.226489285,0.999997003,0.815335293,1,0,1.358,0.5,2982.301537,1.707462928,1190.91074,1.835868002,200,0.5,3.073,4,4,0.3,1.2,3.715917584,1049.697896,1.330548877,1883.401581,1.578132231,0.97
8756,0.582479819,0.000424141,0.020594675,0.011271194,0.020352186,0.000678613,0.716797675,0.999997161,0.582479819,40,0,1.358,0.5,1715.261041,1.939683655,1425.202808,1.829333428,200,0.5,3.073,4,4,0.3,1.2,4.993864685,1636.641314,1.058394375,2603.476945,0.810822554,0.97
8763,0.953499365,0.00037805,0.019443497,0.011257034,0.01701994,0.000677765,0.048768397,0.999997904,0.953499365,41,0,1.358,0.5,2890.797409,1.599592024,2500.277093,0.678865716,200,0.5,3.073,4,4,0.3,1.2,0.821414999,1340.067786,1.663761022,658.8717244,0.775798312,0.97
8764,0.551262101,0.000589442,0.024278423,0.013874996,0.0252634,0.000800967,0.814019134,0.999995759,0.551262101,40,0,1.358,0.5,2936.710496,1.861329298,616.3691057,1.574926909,200,0.5,3.073,4,4,0.3,1.2,0.887873761,2354.869271,1.793316631,1747.50835,0.972610772,0.97
8766,0.554924753,0.000533275,0.023092755,0.012896062,0.02361704,0.000762378,0.802046124,0.999996307,0.554924753,40,0,1.358,0.5,2486.479575,1.795495206,600.7930749,0.956141499,200,0.5,3.073,4,4,0.3,1.2,2.589444041,2462.170397,0.695281353,789.4920213,0.439493467,0.97
8746,0.910180578,0.000421723,0.020535885,0.011147873,0.020497162,0.000863706,0.098683079,0.999997037,0.910180578,39,0,1.358,0.5,2226.401679,1.955367863,2423.147135,0.07099352,200,0.5,3.073,4,4,0.3,1.2,2.913565477,2209.383611,0.451071102,1452.897166,1.712858332,0.97
8767,0.828219967,0.000518522,0.022771073,0.012963907,0.024353408,0.000963835,0.207408708,0.999995987,0.828219967,39,0,1.358,0.5,2259.369426,1.906568197,2278.188706,0.511601054,200,0.5,3.073,4,4,0.3,1.2,3.46539582,2375.721747,1.747613251,1050.017114,1.583128365,0.97
8769,0.824030751,0.000567944,0.023831576,0.013908158,0.025421502,0.001158361,0.213546944,0.999995257,0.824030751,39,0,1.358,0.5,2888.474349,1.565540989,583.7235687,1.849462173,200,0.5,3.073,4,4,0.3,1.2,4.02485743,1358.599572,0.529500493,1678.083984,1.459185511,0.97
8770,0.591235424,0.000528573,0.022990718,0.012755708,0.023509631,0.000905056,0.69137362,0.999996442,0.591235424,39,0,1.358,0.5,2631.323015,1.772876629,683.9647792,0.411407269,200,0.5,3.073,4,4,0.3,1.2,3.512868918,1476.284913,0.156636053,2270.910279,1.09279026,0.97
8771,0.635141814,0.000556639,0.0235932,0.013327685,0.02487262,0.00093101,0.574451528,0.999996003,0.635141814,40,0,1.358,0.5,2898.031417,1.378938288,1190.126442,1.896622882,200,0.5,3.073,4,4,0.3,1.2,3.947611887,1962.790205,1.093833873,2218.035457,1.790861487,0.97
8772,0.661263631,0.000459835,0.021443763,0.011626937,0.021849319,0.000844159,0.512256162,0.999996968,0.661263631,40,0,1.358,0.5,2678.334839,1.311209859,716.597926,1.597102172,200,0.5,3.073,4,4,0.3,1.2,1.838004293,711.0560264,1.6084145,1560.564229,0.119152613,0.97
8765,0.9347421,0.00053293,0.023085272,0.013795093,0.022576374,0.001199859,0.069813802,0.999994775,0.9347421,1,0,1.358,0.5,2320.372033,1.921996229,2304.675412,0.175468876,200,0.5,3.073,4,4,0.3,1.2,3.278290663,2551.903435,0.724926929,1685.615979,1.306701867,0.97
8773,0.728574641,0.00064903,0.025476059,0.014745896,0.026424131,0.001117745,0.372542968,0.999994627,0.728574641,40,0,1.358,0.5,2701.452801,1.811821633,744.6295547,1.987259143,200,0.5,3.073,4,4,0.3,1.2,3.288961282,690.2636456,1.146706253,2001.634662,1.12768862,0.97
8776,0.722648804,0.000646125,0.025418982,0.014340317,0.027341662,0.001051519,0.383798043,0.999995345,0.722648804,40,0,1.358,0.5,2915.837539,1.714463457,733.4329629,0.316790361,200,0.5,3.073,4,4,0.3,1.2,4.742715689,2937.910162,0.186500242,853.6312956,0.235765835,0.97
8768,0.764435508,0.000632761,0.02515475,0.013978525,0.027205949,0.001036583,0.308154827,0.999995773,0.764435508,39,0,1.358,0.5,2961.194042,1.956198454,1045.900179,0.83572798,200,0.5,3.073,4,4,0.3,1.2,3.975969394,652.2521339,1.225230702,2173.542717,1.243759772,0.97
8779,0.845489318,0.000583856,0.024163121,0.013291708,0.025875119,0.001055806,0.182747053,0.999995821,0.845489318,39,0,1.358,0.5,2654.518454,1.509996195,2110.818272,1.221782222,200,0.5,3.073,4,4,0.3,1.2,4.728956317,1604.029676,0.657658042,1285.539707,0.120101739,0.97
8783,0.904034871,0.000449797,0.021208411,0.011358769,0.021048113,0.000849157,0.106152021,0.99999742,0.904034871,39,0,1.358,0.5,2285.915535,1.877466261,2738.125815,1.544774482,200,0.5,3.073,4,4,0.3,1.2,4.482679293,823.1260724,0.517626903,967.0799528,0.132108066,0.97
8784,0.916858861,0.000444512,0.021083449,0.011186696,0.020616629,0.00084482,0.090680412,0.999997445,0.916858861,39,0,1.358,0.5,2608.338601,1.841377395,1999.958861,0.511940008,200,0.5,3.073,4,4,0.3,1.2,2.291094521,1059.07707,0.198257565,1943.498599,1.461013618,0.97
8785,0.914084036,0.000249977,0.015810658,0.007872898,0.014016489,0.000609345,0.093991318,0.99999824,0.914084036,40,0,1.358,0.5,2182.732934,1.640068766,2543.807662,1.645054175,200,0.5,3.073,4,4,0.3,1.2,1.127388367,573.88501,0.730874807,871.0943281,0.215621353,0.97
8786,0.964807002,0.000294167,0.017151301,0.008683708,0.015527453,0.000677937,0.036476723,0.999997921,0.964807002,39,0,1.358,0.5,2963.771554,1.942230556,1132.295097,1.395216483,200,0.5,3.073,4,4,0.3,1.2,2.22026404,2269.568393,1.706595413,2673.856698,0.73145451,0.97
8790,0.984686961,0.000246844,0.015711271,0.007643999,0.013585923,0.001061434,0.015551174,0.999998153,0.984686961,39,0,1.358,0.5,2974.912922,1.814327107,2259.522348,0.211805343,200,0.5,3.073,4,4,0.3,1.2,1.182907748,2092.368222,1.021470957,2184.972818,0.48609373,0.97
8789,0.754515649,0.000716638,0.026770091,0.014782666,0.028260851,0.001074642,0.325353557,0.999995623,0.754515649,40,0,1.358,0.5,2769.925436,1.921307838,544.5318437,0.612498698,200,0.5,3.073,4,4,0.3,1.2,2.338851911,2632.107027,0.215107012,2707.519109,1.536155573,0.97
