Mandatory_p_optimal,Mandatory_a_th,Mandatory_b_safe,Discretionary_p_optimal,Discretionary_a_th,Discretionary_b_safe
0.204119472,0.249587764,5.577037495,0.545903241,2.503718251,3.562114982
0.208615224,0.134768826,5.565383859,0.491695895,2.591432921,3.451009306
0.220331372,-0.306021653,5.478973262,0.553865846,2.263179112,3.680670651
