id,best_fitness,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Error,Wc_pp,Wc_pb,Wc_pbar,Wc_bp,Wc_bb,Wc_bbar,eta_ped,xi_ped,tau_ped,v_pref_ped,eta_bike,xi_bike,tau_bike,v_pref_bike
9555,0.99850832,0.001493909,0.038651115,0.015130177,0.035324478,0.001274315,2.814523927,0.999989856,0.99850832,209.4375565,195.5189229,88.22009985,2142.191022,2152.681747,1474.363939,1.601456504,2.367888246,0.659316236,1.358,2.132629569,5.410139868,0.329404478,3.073
9558,0.998478996,0.001523321,0.039029751,0.015271502,0.035675099,0.001276101,2.857751014,0.999989796,0.998478996,200.5173228,232.8535597,43.08408279,2227.574904,1754.473151,1408.790909,2.402882505,1.708378225,1.070803839,1.358,3.201506294,5.990563493,0.491549753,3.073
9568,0.998578043,0.001423982,0.037735687,0.014511517,0.033469829,0.001244317,2.194356362,0.999990358,0.998578043,184.3515169,237.7431499,115.4827238,1586.32654,2111.760071,991.2870083,3.90020849,2.844552624,0.450853115,1.358,4.510034949,4.456106778,0.611017303,3.073
9573,0.998204429,0.001798801,0.04241227,0.017396796,0.039918679,0.001344675,2.237708043,0.999989136,0.998204429,174.84197,293.6182326,105.3995165,1993.951866,1913.007137,1546.72141,1.276216574,4.031370495,1.416533157,1.358,3.977741092,2.509982144,0.815403504,3.073
9578,0.998053607,0.001950188,0.044160937,0.019037431,0.043426789,0.00140202,1.794173324,0.999988691,0.998053607,188.4374554,291.1144792,101.3756584,1779.014509,1899.734996,1582.952305,4.808229755,2.890833842,0.738590078,1.358,5.550636235,2.536645727,0.472869283,3.073
9579,0.997254415,0.002753144,0.052470407,0.022780665,0.052686293,0.001663798,3.067001945,0.999983496,0.997254415,172.9147864,250.7329249,69.29514576,1554.433396,1596.311375,1422.722948,3.186603527,4.424421525,0.726941767,1.358,3.876100267,5.060418406,0.586099638,3.073
9580,0.997342683,0.002664397,0.051617799,0.022031654,0.050987766,0.001636985,2.632424358,0.999984578,0.997342683,187.2353938,199.4257506,56.63038894,2083.29749,2193.693688,1580.015363,2.756797254,2.413083629,1.332880052,1.358,3.035921846,4.083657289,0.964752453,3.073
9581,0.99597221,0.004044079,0.06359307,0.028039305,0.06208409,0.00201711,3.449598978,0.999974998,0.99597221,199.7096521,233.7531272,109.0704925,1917.85486,1653.467875,1388.588518,1.146659212,1.569200468,1.387445872,1.358,5.044268327,3.581180068,0.33472928,3.073
9590,0.99585272,0.004164552,0.064533339,0.029688669,0.060872576,0.002046934,3.731438435,0.999973263,0.99585272,187.3993451,270.5796288,115.3449044,1935.384892,1718.512643,909.2327604,4.450884516,2.699646958,0.435786735,1.358,4.793397507,5.530847309,0.698211905,3.073
9591,0.995758969,0.004259094,0.065261737,0.030172976,0.061704032,0.002070039,3.611711959,0.999972201,0.995758969,192.2510591,238.6044408,107.2519528,1880.685377,2022.592372,1537.321526,4.57551694,1.062442776,0.92136776,1.358,2.050259017,4.689104369,0.522260019,3.073
9596,0.995288579,0.004733723,0.068802059,0.031793432,0.064950001,0.002182334,3.247334247,0.999966075,0.995288579,192.8096002,284.0367047,88.3074764,2048.015505,1960.10101,1504.12174,1.370693753,2.710174846,0.75497738,1.358,5.100308105,3.227817527,0.603125248,3.073
9597,0.995378403,0.004643055,0.068139968,0.03210865,0.062016509,0.002162729,2.804405336,0.999964464,0.995378403,199.8460413,207.9894182,105.8247071,1615.294332,1838.452529,1561.115921,1.069011023,2.491533173,0.342130344,1.358,3.867163199,2.772996578,0.491822002,3.073
9600,0.995563067,0.004456707,0.066758574,0.031669523,0.057745069,0.002118884,2.246180399,0.999964389,0.995563067,174.6781184,295.922567,72.42554811,2008.355974,1661.566653,1322.919776,1.199153667,2.444648968,0.815879943,1.358,2.709912847,2.366067435,0.821243746,3.073
9598,0.995392254,0.004629076,0.06803731,0.031840188,0.053199353,0.002303922,1.722016104,0.999965003,0.995392254,206.9324666,279.0599677,34.77942766,1774.770387,2076.599495,1423.730833,3.119191441,2.892077869,0.936406052,1.358,4.621947757,4.275585648,0.551574748,3.073
9603,0.9865566,0.013626588,0.116732978,0.062089714,0.096744999,0.010740688,2.153000928,0.999386759,0.9865566,182.9389616,194.5418887,118.1670486,2209.421363,2143.588802,978.7790129,3.455035947,3.244079316,1.058823384,1.358,5.994725458,3.113655224,0.594272868,3.073
9608,0.991982745,0.008082051,0.089900229,0.036891213,0.055349389,0.006190023,1.850789725,0.999827898,0.991982745,193.5846713,218.7012246,45.85760662,1805.683958,1867.026685,961.156571,2.922812332,2.443840115,0.92567491,1.358,5.065624694,3.039189868,0.437870106,3.073
9609,0.998209854,0.001793356,0.042348035,0.016728066,0.029698525,0.002958692,0.333564233,0.999949633,0.998209854,174.0216794,200.2022357,44.69901583,2244.399281,1921.123277,1523.211444,1.454338953,1.345248494,0.792881229,1.358,3.460605992,5.879442526,0.396798951,3.073
9614,0.999350238,0.000650185,0.025498721,0.009197443,0.013056519,0.003153522,0.127436217,0.999966889,0.999350238,174.3520394,204.3856554,109.8358514,1820.442751,1859.741695,1306.758945,4.738520407,1.037912576,1.162578076,1.358,3.233108735,2.425048843,0.432303251,3.073
9615,0.999359251,0.000641159,0.025321126,0.00914078,0.012944614,0.003161216,0.125667248,0.999967377,0.999359251,174.0023694,273.0477562,35.89230272,1912.518096,1596.848692,966.9328466,4.316530369,1.645430519,0.868640716,1.358,3.273068163,2.627559029,0.731996706,3.073
9616,0.711187862,0.406098238,0.637258376,0.120256266,0.158982248,0.025133682,194.1149577,0.998083925,0.711187862,184.8145705,268.4335718,99.96054062,2010.478129,2072.486832,1322.421348,3.681544458,2.160184946,0.940060695,1.358,2.96257732,5.416933168,0.493713094,3.073
9604,0.96154426,0.039993729,0.199984321,0.034566768,0.06204515,0.006576141,107.1032052,0.999764027,0.96154426,204.4055864,262.3284559,89.64923499,2061.011613,1865.945671,1634.978048,1.270021869,3.184156054,0.654666984,1.358,2.051916048,5.939742519,0.388562296,3.073
9621,0.983314329,0.016968807,0.130264374,0.072662114,0.08417594,0.004913249,5.294267843,0.999923601,0.983314329,180.915746,182.8892878,93.35247907,1717.295977,2122.443407,1525.54468,3.896304786,4.229131304,0.808608468,1.358,4.512049522,4.857311187,0.790477132,3.073
9626,0.997449955,0.002556564,0.050562478,0.023697718,0.055086383,0.001971894,2.385274348,0.999984907,0.997449955,205.363379,211.8559909,80.23433359,1902.408567,2193.910414,1175.945226,1.020025654,4.511844231,0.498333083,1.358,5.715055887,3.101748562,0.414737978,3.073
9627,0.997443104,0.002563451,0.050630531,0.023735878,0.055458298,0.0019769,2.068704729,0.999985108,0.997443104,179.5989025,268.0928193,46.56793741,1812.186938,1787.490591,1386.975556,1.451909205,1.430789469,0.623086544,1.358,5.29023338,4.311913485,0.337946211,3.073
9628,0.997441539,0.002565023,0.050646057,0.023683773,0.055187155,0.00197338,2.439336938,0.999984789,0.997441539,171.3510009,180.3344701,42.25142807,2193.648835,1710.775565,1419.142036,1.096399741,3.622673088,0.906728079,1.358,5.795224733,3.129882356,0.988410093,3.073
9612,0.997354015,0.002653005,0.051507325,0.023708255,0.054818845,0.002004315,3.862774623,0.999982781,0.997354015,174.5526193,204.2405542,107.4332672,1775.360208,1552.967305,1326.417,1.124758477,3.66503602,1.046272867,1.358,2.475377798,2.961165679,0.340629603,3.073
9617,0.997493396,0.002512903,0.050128865,0.022832984,0.052394111,0.001938337,4.691590052,0.999983378,0.997493396,190.6081428,275.6870951,93.85272009,2242.037522,2130.057976,1360.840753,1.252236991,4.470391692,1.444457087,1.358,2.753337375,3.121587289,0.453244539,3.073
9624,0.997415038,0.002591662,0.050908365,0.023365806,0.053408415,0.001971986,4.449882986,0.999982798,0.997415038,193.9988542,316.1552634,69.52039038,1916.387324,2061.263946,1344.545594,1.300487328,2.747767348,1.341912034,1.358,5.815663292,4.618676042,0.353910385,3.073
9619,0.997488378,0.002517946,0.050179144,0.023024583,0.053222027,0.001953709,2.883048691,0.999984431,0.997488378,180.1209652,294.2629107,68.05066993,2020.655688,2108.244628,1017.525184,1.432839001,2.761061284,1.452489868,1.358,2.143182604,3.946456517,0.742270889,3.073
9625,0.997493578,0.00251272,0.050127042,0.022753321,0.05226998,0.001941082,4.676172602,0.999983332,0.997493578,203.1214366,223.3462331,107.8168301,1827.569262,1934.800184,1039.090443,1.852818234,3.665486894,0.836851229,1.358,3.373787499,3.763781705,0.307347278,3.073
9636,0.997357296,0.002649706,0.051475297,0.023588089,0.054535932,0.002007398,3.590351859,0.999982598,0.997357296,188.4528824,262.0294569,64.98021655,2078.528497,2052.378164,1578.205047,1.039274102,2.130067255,1.032009933,1.358,5.826635718,2.322671659,0.339020028,3.073
9637,0.997345603,0.002661462,0.051589356,0.023642373,0.054448524,0.002011846,3.651525337,0.999982306,0.997345603,205.1555754,241.5906453,70.08550584,2081.3525,1966.108479,1356.679589,1.27649763,2.817344682,0.8469668,1.358,5.305231441,4.84693437,0.957825781,3.073
9642,0.997426791,0.002579848,0.0507922,0.023081063,0.052869531,0.001973463,4.125176282,0.99998232,0.997426791,174.3212984,246.4432092,96.60002225,1626.045173,1891.678917,969.2077738,1.189696872,2.412077611,1.388689646,1.358,5.873868691,5.402878305,0.596660224,3.073
9620,0.997551538,0.002454471,0.049542621,0.021949471,0.049837092,0.001915552,4.695403514,0.9999832,0.997551538,195.8231817,200.4371739,33.9086762,2103.564058,1811.000578,1449.506531,1.273147559,3.91406288,1.153006063,1.358,3.489207297,3.011895559,0.477996932,3.073
9638,0.997556594,0.00244939,0.049491317,0.021828348,0.049405288,0.001913568,4.536271109,0.999983121,0.997556594,173.4798037,285.0170714,59.64141311,2012.112162,1788.836878,1047.235411,1.033637768,3.148235927,1.318434918,1.358,2.988622887,5.980183145,0.507418356,3.073
9649,0.997851119,0.002153509,0.046405913,0.019553825,0.041736919,0.001792442,3.353013189,0.999984487,0.997851119,185.9529297,274.0649464,82.17553056,1705.744735,1655.359827,1556.304801,3.752883901,3.263724906,0.392926628,1.358,4.791722024,3.366568578,0.909585702,3.073
9653,0.997994398,0.002009632,0.04482892,0.019205784,0.040523484,0.001724513,3.486711629,0.999984974,0.997994398,209.218292,301.6630247,110.3413564,1736.763326,1610.119885,1011.06733,3.468675208,1.292620192,0.314035694,1.358,4.021537918,5.500744861,0.448030671,3.073
